end,val,accn,fy,fp,form,filed,frame,label,start
2008-09-27,5520000000.0,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,CY2008Q3I,AccountsPayable,
2009-06-27,4854000000.0,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,CY2009Q2I,AccountsPayable,
2008-09-27,5520000000.0,0001193125-09-214859,2009,FY,10-K,2009-10-27,,AccountsPayableCurrent,
2008-09-27,5520000000.0,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,CY2008Q3I,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-09-214859,2009,FY,10-K,2009-10-27,,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,,AccountsPayableCurrent,
2009-09-26,5601000000.0,0001193125-10-238044,2010,FY,10-K,2010-10-27,CY2009Q3I,AccountsPayableCurrent,
2009-12-26,6511000000.0,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,CY2009Q4I,AccountsPayableCurrent,
2010-03-27,5666000000.0,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,CY2010Q1I,AccountsPayableCurrent,
2010-06-26,8469000000.0,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,CY2010Q2I,AccountsPayableCurrent,
2010-09-25,12015000000.0,0001193125-10-238044,2010,FY,10-K,2010-10-27,,AccountsPayableCurrent,
2010-09-25,12015000000.0,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,,AccountsPayableCurrent,
2010-09-25,12015000000.0,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,,AccountsPayableCurrent,
2010-09-25,12015000000.0,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,,AccountsPayableCurrent,
2010-09-25,12015000000.0,0001193125-11-282113,2011,FY,10-K,2011-10-26,CY2010Q3I,AccountsPayableCurrent,
2010-12-25,14301000000.0,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,CY2010Q4I,AccountsPayableCurrent,
2011-03-26,13714000000.0,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,CY2011Q1I,AccountsPayableCurrent,
2011-06-25,15270000000.0,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,CY2011Q2I,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-11-282113,2011,FY,10-K,2011-10-26,,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-12-023398,2012,Q1,10-Q,2012-01-25,,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-12-314552,2012,Q3,10-Q,2012-07-25,,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-12-444068,2012,FY,10-K,2012-10-31,,AccountsPayableCurrent,
2011-09-24,14632000000.0,0001193125-13-170623,2012,FY,8-K,2013-04-24,CY2011Q3I,AccountsPayableCurrent,
2011-12-31,18221000000.0,0001193125-12-023398,2012,Q1,10-Q,2012-01-25,CY2011Q4I,AccountsPayableCurrent,
2012-03-31,17011000000.0,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,CY2012Q1I,AccountsPayableCurrent,
2012-06-30,16808000000.0,0001193125-12-314552,2012,Q3,10-Q,2012-07-25,CY2012Q2I,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-12-444068,2012,FY,10-K,2012-10-31,,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-13-022339,2013,Q1,10-Q,2013-01-24,,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-13-168288,2013,Q2,10-Q,2013-04-24,,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-13-170623,2012,FY,8-K,2013-04-24,,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-13-300670,2013,Q3,10-Q,2013-07-24,,AccountsPayableCurrent,
2012-09-29,21175000000.0,0001193125-13-416534,2013,FY,10-K,2013-10-30,CY2012Q3I,AccountsPayableCurrent,
2012-12-29,26398000000.0,0001193125-13-022339,2013,Q1,10-Q,2013-01-24,CY2012Q4I,AccountsPayableCurrent,
2013-03-30,14912000000.0,0001193125-13-168288,2013,Q2,10-Q,2013-04-24,CY2013Q1I,AccountsPayableCurrent,
2013-06-29,15516000000.0,0001193125-13-300670,2013,Q3,10-Q,2013-07-24,CY2013Q2I,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-13-416534,2013,FY,10-K,2013-10-30,,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-14-024487,2014,Q1,10-Q,2014-01-28,,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-14-157311,2014,Q2,10-Q,2014-04-24,,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-14-277160,2014,Q3,10-Q,2014-07-23,,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-14-383437,2014,FY,10-K,2014-10-27,,AccountsPayableCurrent,
2013-09-28,22367000000.0,0001193125-15-023732,2014,FY,8-K,2015-01-28,CY2013Q3I,AccountsPayableCurrent,
2013-12-28,29588000000.0,0001193125-14-024487,2014,Q1,10-Q,2014-01-28,CY2013Q4I,AccountsPayableCurrent,
2014-03-29,18914000000.0,0001193125-14-157311,2014,Q2,10-Q,2014-04-24,CY2014Q1I,AccountsPayableCurrent,
2014-06-28,20535000000.0,0001193125-14-277160,2014,Q3,10-Q,2014-07-23,CY2014Q2I,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-14-383437,2014,FY,10-K,2014-10-27,,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-15-023697,2015,Q1,10-Q,2015-01-28,,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-15-023732,2014,FY,8-K,2015-01-28,,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-15-153166,2015,Q2,10-Q,2015-04-28,,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-15-259935,2015,Q3,10-Q,2015-07-22,,AccountsPayableCurrent,
2014-09-27,30196000000.0,0001193125-15-356351,2015,FY,10-K,2015-10-28,CY2014Q3I,AccountsPayableCurrent,
